product_uid,materials
175001,Porcelain Solid Wood Marble
175040,Composite
151070,Steel
175041,Fiberglass
163056,Marble
163063,Medium Density Fiberboard (MDF)
175037,Polyethylene
175039,Polyester Latex Other Synthetic
175038,Acrylic
151066,Composite Engineered quartz composite
177696,PVC
175032,Metal
175035,Diamond Multi-Purpose
175034,Carbide
177695,Aluminum
177692,PVC PVC
177693,Cast Metal
177690,Acrylic
177691,Plywood Birch
163043,Resin
175029,Fiberglass
175026,Natural Stone
177689,Galvanized malleable iron Iron
175027,Vinyl
151077,Cast Iron
175022,Steel
177685,Porcelain
151076,Polypropylene
175021,Solid Surface
177686,Steel
175024,Steel
177683,Laminate Thermofoil
175023,Acrylic
177684,Olefin
116601,Aluminum
116602,Quartz
104612,Faux wood
104631,Fibre Reinforced Polymer (FRP)
104628,Copper
104602,Cast Iron
104603,Jute Synthetic
102000,Vitreous China
128630,Wood
104664,Foam Steel
128632,Metal
116647,Rubber
141601,Steel Aluminum Diamond
141602,Other
128627,Stainless Steel
141619,Steel
102011,Wood Wood
104674,Oil
102010,Concrete
102013,Acrylonitrile Butadiene Styrene (ABS)
102012,Other
116634,Copper
116635,Wood
116642,Porcelain-Coated Cast Iron Stainless Steel
104667,Wood BiMetal
104668,Plastic
141611,Other
128614,Polyfiber
141613,Plastic
128616,Polyfiber
102007,Plastic
102009,Copper Brass
104641,Metal
116623,Ceramic
153617,Wood
116628,Acrylic
141620,Plastic
104635,PVC
104632,PVC
141625,Steel
104638,Vinyl
141627,Wood Carbide
104639,Plastic
141629,Cast Iron
104637,Limestone
104651,Tile (wet or dry) Diamond
153601,Steel
153603,PVC
153604,Steel
116617,Vinyl
104645,Metal
141634,Metal
141637,Metal
102040,Steel
128671,Vinyl
102042,Cast-Iron
102041,Polyester Latex Other Synthetic
102044,Plastic
102046,Metal
128676,Glass
102045,Metal Composite
128677,Steel
116689,Copper
114027,Stainless Steel
116688,Galvanized Steel
126010,Wood
114032,Plastic
116693,Acrylonitrile Butadiene Styrene (ABS)
116696,Steel
116695,Metal
126007,Cast Iron
116698,Oil
102037,Acrylic
128667,Composite
128668,Steel
102039,Vitreous China
128669,Steel
102038,Latex
116690,Steel
102051,Steel
102050,Stainless Steel
102053,Plastic
128662,PVC
102054,Wood
102057,Metal
126003,Steel
116679,Wood
114021,Galvanized Steel
116682,Glass Glass
102048,Laminated Particle Board
128656,Bamboo
128657,Vitreous China
128658,Plastic
104681,Steel Other
102020,Other
128650,Composite MDF
104680,Glass
128651,Aluminum
102022,Plastic
128652,No Shelf Glass
102021,Other Wood
102023,Plastic
114004,Brass and Stainless Steel Other
116667,Wood
114005,Aluminum
116669,Cement
114007,Brass Ceramic
116668,Black malleable iron Iron
114009,Aluminum
116670,No Handle brass rubber plastic stainless steel
116672,Black malleable iron Iron
116676,Cast-Iron
102015,Stainless Steel
104678,Metal
102014,Foam Steel
102017,Ceramic
104676,Polyester Latex Other Sea Grass
102016,Brass Composite
102019,Vinyl
128649,Metal
102018,Steel
104690,Vinyl
102033,Manufactured from laminated particle board
128641,PVC
102032,PVC
102035,Steel Steel
102034,Thermoplastic
116657,Steel
116661,Plastic
116662,PVC
114002,Travertine
116665,Cardboard Polypropylene
114003,Brass Stainless Steel
102026,Wood
104689,Stainless Steel
102028,PVC
102027,Plastic
104688,Metal
128637,Steel
102029,Vinyl
128639,Stainless Steel
128594,Composite
153551,Wire Glass
128598,Laminated Particle Board
165538,Polyethylene
165535,PVC PVC
165534,Plastic
153559,Brass Ceramic
165533,Metal
165531,Quartz
128590,Brass
128592,Composite Maple
177519,High Speed Steel Wood Metal Plastic
177518,Steel
177515,Plastic
177511,Laminate
177510,Vitreous China Granite
153542,Vinyl
128587,Acrylic
128588,Thermoplastic
165526,Wood Wood
165525,Steel
165523,Brass
165521,Metal
128580,Metal
128581,Steel
141571,Resin
177508,PVC
177506,0
141577,Other
177505,Steel Other
177502,Brass PVC
177503,Metal
177501,Copper Copper
128574,Laminate Thermofoil
153575,Plastic
153577,Brass
165558,Metal
153579,Zinc
165557,Stainless Steel
116589,Metal
165556,Vitreous China Granite
165555,Ceramic
165554,Steel
165553,Steel
165552,Plastic
165551,Acrylic over wire frame
141590,Glass
141582,Vinyl
116592,Wire
141586,Olefin 0
177539,Aluminum
116596,PVC
116599,Steel
141587,Thermoplastic
177538,Other
177535,High Density Fiberboard (HDF)
177533,Aluminum Aluminum Acrylic
177534,Metal
177531,Steel
153581,PVC PVC
177530,Bamboo
128562,Polypropylene
128563,Metal
128565,Multi-Surface
153566,Composite MDF
165548,Metal
116579,Wood
165545,Steel
165543,Aluminum
116582,Aluminum
116581,Oil
116584,Black malleable iron Steel
177528,Aluminum
177529,Fiberglass
116588,Plastic
177526,Glass
116587,Plastic
177527,Steel
128557,Plastic
177524,Water
177525,Polypropylene
177523,Oil
177520,Plastic Steel
177521,Ceramic
153514,Wood
141520,Porcelain-Coated Cast Iron Porcelain
141528,Composite
141529,Iron
153504,Vitreous China
153506,Silicon Nitride
141537,Laminate
141539,PVC
165518,Metal
165516,Polyethylene
165515,Ceramic
153534,Metal
165514,Composite
165513,Brass
153538,Stainless Steel Painted Steel
165510,PVC PVC
165509,Plastic
165508,Plastic
165507,Steel
165506,Plywood MDF
165505,Aluminum
153524,Plastic
165501,Metal Aluminum
153528,Metal
141550,Metal
141553,Other
141552,Thermoplastic
141557,Other
177599,Steel
177594,Polyfiber
177591,Fabric
177592,Metal
177588,Jute Synthetic
177586,Steel
177587,Foam
177584,Steel
177585,Metal Metal
177560,PEX
153596,Ceramic
165577,Paper
165582,Wood
177559,Metal
177557,Cast Iron
177553,Wood
177552,Brass Solid Brass
153588,Acrylic
165569,Alloy
165568,Polyester Latex Other Wool & Wool Blend
165567,Other Fiberglass
165566,Fabric
165561,Wood
165570,Plywood Birch
177548,Particle Board Birch
177549,HDPE(High Density Polethylene) Plastic
177542,Thermoplastic
153591,Composite
177541,Steel
177582,Aluminum
177580,Ceramic
177581,Rubber
165599,Metal
165598,Acrylic
165597,PEX Polyethylene
165595,Porcelain
177579,Stainless Steel Ceramic
177577,Plastic
177576,Galvanized Steel
177573,No Backing Synthetic
177571,Vinyl
177570,Other
165589,Polyester
165586,Laminate
165584,Stainless Steel
165583,Steel
165592,Steel
165591,Stainless Steel Ceramic
177569,Wire Other
177567,Metal Metal
177564,Plastic
177565,Glass Glass
116928,Tinsel
116929,Acrylic
116922,Plastic
116921,Glass Glass
128906,Steel Wood
104937,430 stainless steel
104935,Galvanized Steel
128903,Porcelain
116916,Granite
116912,Steel Other
104948,Wood
104940,Synthetic/Microfiber
104946,Steel
104944,Metal
116905,Multi-Purpose High Carbon Steel
141908,Porcelain
116907,PVC
141907,Plastic
116900,Plastic
104917,Brass
104916,Plastic
104919,Steel Galvanized Steel
141900,Foam Steel
104913,Natural
104914,Glass
141904,Steel
141918,Vinyl
104926,Composite
104927,Fabric
104925,Galvanized Steel
141912,Stainless Steel
141915,Aluminum
104923,Metal
141914,Composite
128951,Wood Wood
114301,Wood
116964,PVC 100
114302,Medium Density Fiberboard (MDF)
114303,Metal
116973,Steel
102312,Laminated Particle Board
102311,Wood
128944,Laminate
128946,Composite
102318,Fiberglass
102317,Vitreous China
102330,Polyurethane
102332,Metal
104992,Plastic
116952,Steel Brass
116959,Metal
116962,Sand
116961,Ceramic
102323,Steel
102324,Vitreous China Vitreous China
102326,Wrought Iron
102328,Metal Composite
116949,Steel
128930,Steel
116944,Glass
116945,Carbide
104959,Stainless Steel Glass
116951,Steel
116950,Wood
104953,Porcelain Medium Density Fiberboard (MDF) Granite
128920,Stone
104954,Metal
104952,Latex
128923,Marble
104957,Composite Compression Molded Fiberglas and Resin
128924,Wood Rubberwood Solid Wood CA Firefoam PU
128925,Other
104955,Travertine
128926,Recycled PET Steel
104956,Steel
116939,Plastic Plastic
104972,Copper and Plastic
102310,Foam
104970,Metal
116932,Plastic
102309,Steel
102308,Rubber
128918,Ceramic
102301,Aluminum
104964,Aluminum
102300,Steel
104965,Aluminum
128911,Ceramic
102302,PVC
102305,Metal
104968,Vitreous China Medium Density Fiberboard (MDF) Granite
102304,Vinyl
104966,Plastic
128915,Steel
165939,Wood
128990,Aluminum
165938,Laminate
102361,Multi-Purpose Brass
138318,Stone
102360,Wood
165936,Water
102363,Polycarbonate
138316,Plastic
102362,Polypropylene
128994,Wood
165934,Copper Brass
102365,Steel
138315,Aluminum
153952,Porcelain Solid Wood Marble
165930,Wood Wood
114347,Laminate
126331,Aluminum
126330,Cardboard Proprietary
153958,Galvanized Steel
177919,Cotton Synthetic
141960,Carbide
177913,Water
114354,Paper Other
177911,Laminate Medium Density Fiberboard paper Resin (both Acrylic and Melamine) Polyurethane hot metal adhesive and Olefin hot metal adhesive
141961,Wood
102355,Vinyl
138324,Cast Aluminum
102357,Epoxy/2 part
128989,Wood
141968,Aluminum
102359,Steel
102370,Steel
165928,Wood
165927,Vitreous China
128980,PEX Brass
102371,Marble
165925,Carbide Multi-Purpose
102374,Medium Density Fiberboard (MDF)
165924,Granite
128983,Metal
138328,Steel
165923,Stainless Steel Composite
102376,Aluminum
165922,Vinyl
102375,Zinc
138326,Fiberglass
165921,Resin
114334,Oil
116997,Wood
114335,Steel
116996,Steel
114336,Composite Composite
116999,Metal
114339,Resin
177909,Glass
177906,Cobalt
177907,Steel
177904,Cast Metal
177905,Vitreous China Plywood Quartz
126316,Solid Brass
126315,Aluminum
177903,Resin
126314,Steel
177900,Zinc Coated Galvanized Steel
102367,Fiberglass
128975,Steel
102366,Vinyl Vinyl
102369,Multi-Purpose Brass
138332,Steel Comfort Grip
141977,Steel
128978,Powder-Coated Steel
138333,Plastic
141976,Composite
165959,Poly Lactic Acid (PLA)
128971,Vitreous China Solid Wood Marble
128972,Stainless steel Stainless Steel
102343,Stainless Steel
153973,Metal Aluminum Plastic
165955,Brass Solid Brass
102342,Steel
128974,Metal
138337,Metal
153974,Steel
116985,Zinc Coated Galvanized Steel
126311,Plastic Glass
165952,Cotton
114325,No Handle
126310,Vinyl
153977,Other
165950,Vinyl
153979,Steel
114328,Steel
116989,Steel
114329,Vinyl
126308,Medium Density Fiberboard (MDF)
116991,Metal
126307,Galvanized Steel
151307,Metal
177937,Plastic
126305,Plastic
151305,Solid Brass
116992,Thermoplastic
114332,Granite Solid Wood Marble
151303,Latex
177934,Copper
141986,Metal
151301,Glass Medium Density Fiberboard (MDF) Granite
177931,Plywood Steel
128965,Steel
102336,Wood
102335,Porcelain
104996,Polyester Latex Other Synthetic
128967,Porcelain
102350,Steel
165948,Ceramic
102352,Galvanized Steel
128960,Cross-Linked Polyethylene (PEX)
165946,Acrylic
128961,Copper
165945,Vitreous China
102354,Aluminum
153963,PVC
165943,Wood
114312,Metal
165942,Acrylic
126300,Plastic
114314,Steel
116977,Synthetic
153966,Zinc Coated Galvanized Steel
165940,Polyester
153968,Polyester
114317,Brass Copper
153969,Laminate
114318,Aluminum
114319,Metal
177928,Brass
177929,Oil
141991,Wood
177926,PVC
177927,Steel Steel
114320,Composite Oak
116981,Galvanized Steel
151315,PE Polypropylene
177922,Other Plywood Vitreous China
114322,Oil
141994,Plastic
177923,Polypropylene
138356,Zinc die-cast Zinc Ceramic
177920,STEEL Steel Plastic
102344,Steel
128954,Steel
102347,Metal Metal
138354,Polyfiber
102346,Wood
128956,Resin
128958,Cotton Wool & Wool Blend
138351,Plastic
141928,Wood
126377,Galvanized Steel
153910,Aluminum
114393,Porcelain-coated steel grate Porcelain-Coated Cast Iron Painted Steel
114397,Fiberglass
114399,Steel
141922,Steel
141924,Steel
141923,Plastic
141939,Plastic Plastic
114379,Stainless Steel
126365,Acrylic
153900,Vitreous China
126362,Porcelain
126361,Sandstone
153905,Metal Ceramic
114381,Glass
114386,Steel
114388,Resin
126357,Wood Carbide
141931,N/A
141930,Vinyl
141936,Metal
102381,Vitreous China Vitreous China
141949,Wood
165916,Cast Metal
102385,Wood
165913,Foam
165911,Cast Iron
153936,Metal
126350,Glass
114370,Wood
114373,Metal
126347,Steel
102378,Steel
138301,Cellulose/synthetic fiber combo
141942,Composite
102377,Galvanized Steel
102379,Nylon
165919,Plastic
165905,Canvas Fabric
165904,Metal Ceramic
165903,Vitreous China
102396,Wood Laminated Particle Board
165902,Ceramic
102395,Steel
138306,Zinc
165901,Vitreous China
102398,Glass
102397,Bamboo
114356,Fireclay Fireclay
114357,Vinyl
126344,Ceramic
126340,Ceramic
153926,Steel
153928,Steel
114360,Steel
126339,Copper
114363,Steel
114365,Galvanized Steel
114366,Wire Wire
102389,Vinyl
128998,Powder-Coated Steel
138313,Zinc Coated Galvanized Steel
141952,Iron
138310,Nylon Plastic
141954,Wood
165909,Brass
165908,Metal Cobalt
177880,Plastic
163235,Particle Board Thermofoil
165898,Metal BiMetal
126299,Ceramic
165896,Wood
163234,Foam Aluminum
163231,Acrylic
165894,Brass Brass
126296,PVC
165893,Steel
126295,Wood Carbide
175216,Polyethylene
151248,Galvanized Steel
175218,Metal Ceramic
151246,Nylon
151245,Stainless Steel
175212,Laminate
177877,Eucalyptus
151244,Galvanized Steel
175215,Multi-Purpose
177874,Metal Ceramic
175214,Other
177875,Polyester Latex Other Synthetic
177873,Polypropylene Steel
175211,Metal Metal
165889,Polyester Latex Other Synthetic
165888,Metal Metal Metal-steel rods cast iron fnials
126288,HDF core Laminate
163223,Vitreous China
165884,Plastic
126286,Vinyl
165882,PVC PVC
165881,Thermoplastic
126283,Metal
165880,Acrylic
165890,Aluminum
175209,Other Plywood Engineered quartz composite
177869,Chrome
138290,Plastic
175208,Steel
177865,Aluminum
151256,Medium Density Fiberboard (MDF) Marble
175201,Aluminum
177866,Wood
138299,Laminate
177863,Cast-Iron
175203,Metal Metal
177864,Aluminum
138298,No Handle
151252,Oil
177862,Glass
175200,Glass
138296,Steel
151250,Wood
177860,Plastic Wire
126271,Plastic
175240,Stainless Steel
126277,Metal
126276,Steel
163260,Synthetic/Microfiber
114297,Galvanized Steel
175239,Cast Metal
175238,Synthetic fiber
114299,Steel
151268,Plastic Polyester
175235,Cast Metal
177896,PVC
177894,Polyfiber
175230,Plastic
177895,Crystal Solid Brass
114291,PVC Polypropylene
175233,PVC
177892,Rubber Sea Grass
177893,Vitreous China
126260,Steel
177890,Laminate Wood Oak
177891,Metal
114279,Steel
163245,Plastic Glass
163242,Rubber
163243,Polyester Latex Other Synthetic
114286,Foam Steel
177889,Metal N/A Plastic
114289,Copper
175229,Copper Fiber Metal Plastic
175224,Wood Wood
177887,Carbon Steel
151278,Galvanized Steel
175223,Laminate
177885,Galvanized Steel
175225,Porcelain Solid Wood Granite
177886,Metal Ceramic
177883,Wood
177884,Vitreous China Solid Wood Quartz
114281,Polyester
177882,Cotton Synthetic
165859,Steel
165858,High Speed Steel
138237,Bronze
165856,Acrylic
153875,Steel Metal
165855,Stainless steel Steel
165853,Wood
153879,Metal
165851,Stainless Steel
165850,Brass Ceramic
141880,Plastic
177839,Cotton Wool & Wool Blend
141882,PEX Brass
141885,Latex
151203,Metal
177835,Polyurethane
141887,Aluminum
138247,Rubber 10
177833,Galvanized Steel
138245,Multi-Purpose Brass
177831,Wood Wood
138242,Wood
138243,Brass
138241,Medium Density Fiberboard (MDF)
165849,Steel
153861,Stainless Steel
165847,Composite Cultured Marble
153862,PEX Plastic
165846,Granite Solid Wood Engineered stone composite
138248,Galvanized Steel
165842,Composite
165841,Wood Frame: Mango Wood; Content: Rattan
165840,Vinyl
177827,Vitreous China
151217,Acrylic
141893,Plastic
141898,Stainless steel Stainless Steel
141897,Oil
177822,Brass Brass Solid Brass
138255,Copper
138256,Metal Metal
177820,Laminate
138254,Steel
138252,Multi-Purpose High Speed Steel
153893,Aluminum
163217,Porcelain
153895,Plastic
163218,Resin Resin
165879,Natural Stone
163215,Metal
165878,Wood
165875,Laminate Medium Density Fiberboard paper Resin (both Acrylic and Melamine) Polyurethane hot metal adhesive and Olefin hot metal adhesive
163211,Galvanized Steel
165872,Steel
151228,Plastic Rubber
177859,Acrylic
151226,Plastic
177857,Steel
151224,Aluminum
177854,Marble Solid Wood Engineered stone composite
151223,Multi-Purpose PVC
177855,Plastic
177850,Metal Metal
177851,Cardboard Synthetic
163204,Polypropylene
165867,Metal
153886,Porcelain Solid Wood Marble
163202,Oil
153888,Travertine
165864,Brass
138272,Metal Metal
138270,Aluminum
177848,Medium Density Fiberboard (MDF)
177845,Stainless Steel Wood
151235,Aluminum
177844,Water
177841,Composite
177842,Copper Brass
175296,Oil
175299,Plywood MDF
175292,Steel
175294,Steel
175291,Laminate
175290,Composite
175289,Plastic
175286,Brass
175285,Black malleable iron Brass
151293,Galvanized Steel
175260,High Speed Steel
175261,Rubber
163279,Metal High Speed Steel
163278,Vinyl
163283,Steel
175257,Metal
175256,Wood
151288,Carbide
175253,Other Solid Wood Marble
175252,Brass
175255,Vinyl
175254,Fiberglass
175251,CERAMIC Ceramic
163269,Plastic
163267,Steel
104906,Metal
163272,Wood
175249,*
175246,Vitreous China
175245,ABS
151299,Solid Brass
175248,Vinyl
104902,Composite MDF
175242,Steel
104900,Composite Oak
175244,Wood
104901,Constructed of Composite Board and highly durable PVC laminate
151294,Wood Solid Hardwood & Engineered Wood
175281,Wood
175284,Acrylic
175283,Oil
175280,Wood Wood
163297,Plastic
163296,Polyfiber Cast Aluminum
175279,Cotton Synthetic
175278,Metal
175275,Ceramic
175274,Plastic
175276,Composite
175270,Cellulose/synthetic fiber combo
175272,Plastic
163284,Other
163292,Composite
163290,Plastic
175268,Metal
175269,Polyfiber Aluminum
175263,Plastic
175266,Other Domestic Maple
175265,Other Natural stone
116807,Medium Density Fiberboard (MDF)
116809,Brass
116802,Steel
116804,Steel
104818,Porcelain
104815,Galvanized Steel
104812,Vinyl Vinyl
104822,Vitreous China Granite
104825,Oil
104826,Laminate Thermofoil
104824,Manufactured from certified Environmentally Preferred laminated particle panels
104808,Ceramic
104804,Cast Iron Steel
104802,Galvanized Steel
104860,Composite Particle Board Engineered stone composite
116843,PVC PVC
116850,Vitreous China
116852,Wood
128821,Fiberboard
104855,Wire Glass
128823,Vitreous China Vitreous China
104857,steel brass and zinc alloy Steel
128828,Vinyl
104872,Multi-Surface
116832,Sand
116834,Metal
116833,PVC Plastic
116835,Glass
104865,Porcelain-Coated Steel
102204,Plastic
104863,Wood
128812,PVC
102203,Sand
102206,Other
104869,Natural Stone
102205,Chrome-Plated Steel Porcelain
102207,Steel
116820,Aluminum
128807,Vitreous China Medium Density Fiberboard (MDF) Granite
128808,Plastic
104833,Polyfiber Steel Glass
104830,Wood
128801,Vinyl
104831,Thermoplastic
104836,Cedar
128804,Medium Density Fiberboard (MDF)
104850,Vinyl Soft
104851,Laminate
104849,Granite
165818,Laminate
165816,Vinyl
165815,Nylon Comfort Grip
102242,Recycled Foam 90
165814,Poplar solids Veneers Engineered Wood
102241,Vinyl
165813,Steel
102244,Wood Other Wood
153830,Aluminum
102243,Solid Brass
165811,Stainless Steel
153832,Composite Composite
165810,Aluminum
116886,Steel
126211,Aluminum
