id,product_uid,similarity_search_term_to_title,similarity_search_term_to_description,similarity_search_term_to_brand,similarity_search_term_to_materials,relevance
205,100036,0.186629,0.0788644,0.00761187,-0.000228534,2.33
210,100037,0.8944,0.211143,0.998926,0,2.5
214,100038,0.214315,0.285122,-0.000212487,0,2.33
215,100038,0.500425,0.267103,-0.000237245,0,3
223,100039,0.148896,0.17214,-0.0522414,0,2.33
226,100039,0.295304,0.0988429,0,0,2.33
227,100039,0.147584,0.193065,-0.0522414,0,2.33
233,100039,0.55587,0.224659,-0.0522414,0,3
241,100042,0.69987,0.0326702,1,0,3
245,100042,0.472241,0.324484,-6.17E-05,0,2.33
255,100045,0.327022,0.58094,0,0,2.33
257,100046,0.409764,0.123299,0,0,2
259,100046,0.00753163,0.0434628,3.58E-06,1,2
261,100046,0.439703,0.156912,-0.00100415,5.91E-06,2.33
266,100046,-0.0301529,0.460894,0.00283795,0.00012338,2.67
270,100046,0.269498,0.120287,-8.22E-05,-9.67E-06,1.67
272,100047,0.418587,0.0979895,0.683046,0,3
275,100047,0.263378,0.43315,-1.96E-06,-1.00E-06,2.33
276,100047,0.263378,0.43315,-1.96E-06,-1.00E-06,3
284,100049,0.409192,0.320758,0.201182,0,2
290,100050,0.139287,0.391464,-8.37E-05,0,2.67
293,100051,0.761078,0.562176,0,0,3
294,100051,0.548426,0.281801,1,0,3
297,100051,0,0,0,0,2.33
305,100053,0,0,0,0,3
314,100054,0.438726,0.122014,0.748094,0,3
318,100054,0.541338,0.30116,0.00295696,0.866258,3
319,100054,0.281757,0.152238,1,0,2.67
323,100055,0.800979,0.25491,0.998103,0,2.33
327,100055,0.54334,0.237468,-0.00038481,0,3
331,100055,0.7427,0.270947,-0.00050669,0,2
334,100055,0.69711,0.215742,0,0,2.67
335,100055,0.692873,0.152838,-0.00050669,0,2
340,100056,0.158046,0.127786,0.0186207,0,1.33
341,100057,0.504481,0.613904,0,0,2.33
343,100057,0.587209,0.804931,0,0,2.33
346,100057,0.70449,0.849381,1,0,2
347,100057,0.38007,0.251356,0,0,1.33
350,100057,0.691061,0.84516,0,0,3
351,100058,0.200378,0.0534913,-0.18158,0,3
354,100058,0.0791118,0.0954422,-0.18158,1.22E-05,2.33
355,100058,-0.0584575,0.0172337,0,-1.56E-05,3
359,100059,0.00885024,0.0728227,1.75E-05,0,2.67
361,100060,0.229128,0.370428,-0.0584562,0.000235231,2.33
363,100060,0.228421,0.372777,-0.0584562,0.000235231,3
365,100060,0.229128,0.370428,-0.0584562,0.000235231,2.33
373,100063,0.404238,0.147466,0.0228625,0,2
374,100063,0.0186445,0.0375925,0.0385843,0,2.67
375,100063,0.0394014,0.0784589,0.072438,0,2.67
385,100064,0.0414948,0.0373171,-0.000358784,0,2.67
389,100065,0.285428,0.573981,0,5.47E-05,2.33
397,100065,-0.00473953,0.211907,-8.11E-07,0,1.33
400,100065,0.45569,0.206456,0.86764,0,2
401,100065,0.697551,0.573537,0.867623,0,2.33
402,100065,0.780437,0.380904,0.998087,-7.65E-06,2
403,100065,0.562341,0.502098,1,8.29E-05,2.67
407,100065,0.525313,0.719616,0,0,2.67
408,100065,0.27336,0.646433,0,0,2.33
411,100065,0.412988,0.000646506,7.02E-05,-7.65E-06,2.33
413,100065,0.324136,0.69737,-6.43E-06,-0.0580967,1.33
418,100065,0.419445,0.705309,0,0.000105396,2.33
421,100065,0.423744,0.488048,0.000917557,0,2.67
422,100065,0.709895,0.702082,1,0,3
440,100068,0.473023,0.627816,-0.0180817,0,2.33
444,100068,0.294484,0.329235,-0.000126695,0,2
445,100068,0.475381,0.417276,-0.0195336,0,1.67
446,100068,0.466588,0.570796,-0.0200213,0,2.67
447,100068,0.538932,0.628317,-0.0200213,0,3
452,100068,0.639858,0.635211,0.726076,0,2.67
454,100068,0.639858,0.635211,0.726076,0,3
455,100068,0.59775,0.593132,0.726076,0,2.33
456,100068,0.481858,0.582178,-0.0180817,0,3
458,100068,0.481915,0.567838,-0.0180817,0,3
459,100068,0.479586,0.580893,-0.0180817,0,1.67
461,100069,0.924993,0.318336,1,0,3
468,100070,0.51314,0.373137,-0.000131687,0,3
469,100070,0.285864,0.21635,6.71E-06,0,3
470,100070,0.435016,0.557109,-0.000381111,0,2.33
473,100070,-0.00241099,0.0739143,6.71E-06,0,3
475,100071,0.00644875,0.0964388,-0.000303166,0,2.33
476,100071,-0.00192637,0.101187,-0.000303166,0,3
478,100071,0.670292,0.381746,-0.000271019,0.684824,3
479,100071,0.564823,0.17228,0.0280766,0.707153,1.33
480,100072,0.386208,0.0367555,-0.0131255,0,1.67
481,100072,0.356546,0.230548,-0.0520127,0,3
485,100074,-0.00921384,0.0130533,0,0,3
491,100076,0.27311,0.182643,-0.000266381,0,3
492,100077,0.280402,0.136588,-0.00114046,0.453519,1.67
497,100077,0.0238095,0.0751523,0,-0.000894993,3
500,100078,0.457987,0.458144,-0.105232,0,2.67
501,100079,0.40165,-0.0374005,0,0,1.67
508,100081,0.533588,0.056614,0.0320989,1.75E-06,2.33
511,100081,0.0254758,0.0436695,-0.141131,0,2.33
516,100082,0.181689,0.0728218,0,0,3
517,100083,0.011114,0.086033,-0.0195771,0,1.33
524,100086,0.565423,0.359618,0.00438148,0,2
533,100086,0.523951,0.218893,0,0,3
536,100087,0.0204651,0.0418036,0,0,2
542,100088,0.243566,0.00220339,0,0,2
544,100089,0.168974,0.275808,1,0,3
549,100090,0.488347,0.275525,0.000150843,0,3
551,100090,0.689894,0.534711,-4.52E-08,0,3
557,100090,-0.0498278,0.197354,0.000137796,0,2.67
559,100090,0.0450298,0.181706,0,0,2.33
562,100090,0.689894,0.534711,-4.52E-08,0,2.33
563,100090,0.688412,0.545928,-4.52E-08,0,2.67
568,100092,0.765884,0.19272,-0.0361922,0,2.33
571,100092,0.765884,0.19272,-0.0361922,0,1.67
572,100092,0.697707,0.321621,-0.0788273,0,2.67
573,100092,0,0,0,0,2.67
576,100092,0.905542,0.575876,0.727861,0,2.67
581,100093,0.750295,0.330158,1,0,3
582,100093,0.493598,0.298194,0.998075,0,3
583,100093,0.523885,0.279243,0,0,2.67
584,100093,0.53042,0.268865,0,0,3
585,100094,0.442935,0.546215,-0.183117,0,3
591,100094,0.485836,0.0772613,0.179424,0,2.33
593,100094,0.540062,0.397626,-0.0443871,0,1.33
595,100095,0.324172,0.107389,0,0,2
600,100095,0.53884,0.257212,0.999575,0,3
605,100096,0.191079,0.357752,-0.00173251,1.97E-05,2
606,100096,0.104597,0.0804325,0.000115441,2.57E-05,2.67
611,100096,-0.0020292,0.0504494,0.000337453,1.50E-06,2.67
619,100097,0.598795,0.420272,0.951044,0.577489,2.33
626,100098,0.0498547,0.186486,0.0462374,0,1.33
630,100100,0.23683,0.129404,0,0,3
634,100101,0.28072,0.142439,0.832511,0,1.67
635,100101,0.38644,0.20453,-0.0788396,0,3
636,100102,0.124237,0.0887577,0.0632202,0.00110388,2.67
637,100102,0.0284292,0.0166135,0,-0.000223407,2
640,100104,0.277755,0.0439561,-0.000198336,0,1.67
642,100104,0.51754,0.104824,-9.02E-06,0,2.33
643,100104,0.540264,0.544312,0,0,3
644,100105,0.591166,0.27789,0,0,2.67
646,100105,0.159866,0.476527,-0.000215074,0,2.67
652,100105,0.242438,0.39595,0,0,2.33
653,100106,0.0338556,0.121285,0,0,1.25
659,100108,0.211874,0.13561,-0.000743725,0,2.33
660,100109,0.272365,0.388769,7.73E-08,0,3
661,100109,0.378629,0.380282,7.73E-08,0,3
662,100110,0.177079,0.00258217,0.000105746,0,2.33
663,100110,0.508148,0.253124,-0.00144021,0,2.67
666,100110,0.638177,0.303855,0.999993,0,2.67
668,100110,0.459186,0.189563,1,0,2.67
669,100110,0.14929,0.288422,0.00156873,0,2
670,100111,0.667898,0.15741,0,0,3
671,100111,0.663629,0.159105,0,0,1.67
674,100112,0.645898,0.257431,0.996902,0,2
677,100113,0.034421,0.130967,-0.00229589,0,2.67
679,100114,1,0.0599588,0,0,3
680,100115,0.200894,0.400414,0.0272002,-0.000681566,3
682,100115,0.0266062,0.124489,0.0359002,0,2
686,100116,0.629403,0.455924,0,0,3
687,100116,0.526724,0.451975,-4.94E-06,0,3
688,100117,0.363824,0.0550271,0,0,2
690,100118,0.000297137,0.0302223,-0.0866078,0,2.67
691,100119,0.471642,0.445854,0.0992454,-0.000560262,2.67
696,100119,0.0395854,0.314975,0.099626,-0.000560262,1
700,100120,0.0511396,0.032442,0.000289512,0,3
712,100124,0.425782,0.402994,0,0,3
713,100125,0.743599,0.271701,1,0.00038356,3
715,100125,0.873717,0.230703,0.998103,0,2.33
718,100125,0.609257,0.183463,0.000574251,0,3
722,100125,0.758383,0.218556,0.000205355,0,2.33
726,100126,0.616105,0.398942,-0.0377216,3.74E-05,2.67
731,100127,0.584523,0.132403,0,0,2.33
734,100128,-0.000640249,0.0286252,0.128851,0,1
737,100128,0.081526,0.156333,0,0,3
739,100128,0.315837,0.578027,0.154271,-0.000541996,2.67
740,100128,0.389001,0.581233,0.154271,0,2.67
742,100129,0.115798,0.174057,0,0,1
743,100129,0.209194,0.215381,0,0,3
745,100130,0.0549286,0.146503,0,0,3
748,100131,-0.0031273,0.20289,0,0,1.67
749,100131,0.258503,0.191587,-0.297372,0,1.67
751,100131,0.217444,0.065547,-0.297372,0,2
753,100131,0.156493,0.0296756,0.240133,-2.25E-05,1.67
756,100132,0.284763,0.139477,0,0,3
758,100133,0.134374,0.101738,0,0,2.33
759,100133,0,-0.0764069,0,0,3
760,100133,0.0261792,0.0913974,8.73E-05,0,3
763,100134,0.350355,0.198304,-0.00481469,0.00109677,2.67
764,100134,0.00430794,0.111391,0.0113953,-1.87E-06,1
765,100134,0.0296563,0.0727069,0,0.000267371,1.67
771,100134,0.330788,0.189997,-0.00189939,0,2.33
773,100134,0.00184294,0.0665693,0.0112596,-3.95E-06,1.33
778,100135,0.76236,0.450013,0.99791,0,2
784,100138,0.322292,0.212121,-8.12E-05,0,3
787,100138,0.331736,0.507396,0,0,3
790,100138,0.53966,0.224663,0,0,1.67
791,100138,0.588162,0.45815,0,0,1.67
800,100138,0.506548,0.41595,0,0,3
801,100138,0.330773,0.381487,0,0,1.67
811,100140,0.490764,0.187102,0.015967,0,2.33
812,100140,0,0.0284715,0,0,3
817,100141,0,0,0,0,2
818,100141,0.251837,0.0606842,1,0,2.67
819,100141,0.275344,0.0803537,1,0,1.67
824,100141,0.391814,0.306621,-0.00326382,0,3
826,100141,0.580967,0.153143,-0.0214368,0,3
828,100143,0.592441,0.282068,-0.00956559,-2.61E-06,2.33
831,100143,0.593843,0.281108,0.999574,0,3
832,100143,0.571507,0.264528,-0.0143959,0,3
837,100143,0.721287,0.243815,-0.00353136,-3.04E-07,3
843,100144,0.681916,0.161823,0,0,2.75
844,100144,0.678475,0.155488,0,0,2
847,100145,0.342514,0.038909,0,0,2
852,100146,0.278863,0.0295969,-0.0018549,4.60E-06,2
857,100146,0.394152,0.151225,-0.0018549,0.893581,3
862,100148,0.685971,0.658617,-6.71E-06,0,3
867,100149,0.256602,-0.0114642,0,0,1
868,100149,0.429922,0.156989,-0.000217807,-1.40E-05,1.67
869,100149,0.373281,0.119741,0.000305507,-5.45E-06,2
872,100149,0.411526,0.176871,-2.65E-05,-1.40E-05,2
876,100149,0.400719,0.370327,0,0,2
878,100149,0.429922,0.156989,-0.000217807,-1.40E-05,2.33
881,100149,0.406556,0.274771,-0.000402459,0.893576,2
882,100149,0.429922,0.156989,-0.000217807,-1.40E-05,2
885,100149,0.331292,0.0729474,-0.000774363,0,2.67
886,100149,0.00532591,0.189435,0.000788733,1.96E-05,1.67
893,100150,0.300037,0.340145,-0.000163607,0,2.33
894,100150,0.113286,0.249103,8.73E-05,0,3
895,100150,0.0654529,0.145284,8.73E-05,0,2.67
898,100150,0.239928,0.287799,0.000160605,0,2.33
899,100150,0.029667,0.322267,0,0,2
902,100151,0.356103,0.456469,-0.00116114,-8.33E-07,3
908,100152,0.502569,0.24663,1,0,3
909,100152,0.463424,0.222284,1,0,2
910,100152,0.427822,0.249701,0.999881,0,2
912,100152,-0.0246906,0.0300303,-0.00989471,0,1
918,100152,0.151065,0.193912,-0.000827904,0,1
922,100153,0.0116185,0.040583,0.00735205,0,2.67
923,100153,0.200654,0.0893027,0.00735205,0,3
928,100153,0.24768,0.115669,-0.00176643,0,2
929,100154,0.327746,0.221479,0.156072,0,1.33
934,100154,0.742563,0.321654,0.967149,0,2.67
940,100155,0.309388,0.149151,0,1,3
944,100157,0.0131035,0.144676,0,0,3
954,100158,0.674523,0.0873069,0.999838,0,2.67
958,100158,0.625085,0.079137,-0.000144574,-1.08E-06,3
962,100158,0.385193,0.0440789,-0.000144574,0,3
963,100158,0.403798,-0.0147794,0,-1.08E-06,2.33
969,100160,0.75436,0.314515,-6.05E-13,0,3
974,100161,0.720389,0.238092,0,0,2.33
978,100161,0.723696,0.752917,0.00757793,0,2.33
984,100163,0.363559,0.309427,-0.0195468,0.707123,2
991,100165,0.453612,0.158411,0.0153875,-0.00134629,2.67
1000,100165,0.122893,0.0973013,0,0,3
1001,100166,0,0,0,0,1
1004,100166,0.341505,0.481754,0.999455,0,2.67
1007,100167,0.376176,0.360646,2.02E-06,1.54E-05,3
1008,100167,0.26751,0.346075,2.02E-06,1.54E-05,3
1019,100170,0.596566,0.134774,0.104892,0,1
1020,100170,0.435145,0.157461,-0.0746222,0,2.67
1022,100170,0.685912,0.198933,0.00500857,0,1.67
1026,100170,0.598112,0.205538,0.104892,-0.000366085,2.33
1028,100171,0.0505564,0.398375,0,0,1.33
1031,100172,0.367192,0.220618,0.788852,0,2.67
1038,100173,0.0827203,0.100969,0,0,3
1040,100174,-0.0531441,0.0107406,0,0,1.67
1051,100176,0.00379354,0.0443717,0.99875,0,3
1053,100177,0.68817,0.431857,-0.00868162,0.0606451,3
1056,100178,0,0,0,0,2.33
1060,100179,0.505186,0.376391,-0.184374,3.80E-05,2.67
1062,100179,0.46581,0.307939,0.521757,0,3
1065,100180,0.479801,0.0721022,-1.23E-05,0,3
1068,100180,0.588334,0.116939,-0.000936355,0,2.33
1072,100181,0.119932,0.0494006,0,0,2
1073,100181,0.0210519,0.455021,-0.135958,0,3
1074,100181,0.73301,0.0442193,-0.0336704,0,2
1076,100182,0.282058,0.244474,1,0,3
1080,100184,-0.0371301,0.023037,0,0,2
1081,100184,0.741204,0.606615,0.974409,0,2.67
1083,100184,0.636019,0.180686,0.00367785,0,1.67
1084,100184,-0.0191138,0.173942,0,-1.50E-06,2.33
1086,100184,0.254987,0.167173,0.000460288,-0.000126007,2.33
1090,100185,0.0973137,0.0495015,0.00761187,-0.000228534,2.67
1095,100188,0.00273183,0.0308097,4.14E-05,1.39E-06,2.67
1097,100189,0.427329,0.227712,-0.0768182,0,2.33
1098,100189,0.263235,0.204881,0.0294209,0,2.33
1101,100189,0.144675,0.0807162,-0.00792699,0,1.67
1103,100189,0.437175,0.133475,0.117627,0,2.67
1104,100189,0.0127204,0.0555691,0.0230651,0,1.33
1107,100189,0.0256955,0.221795,0.0695577,0,3
1108,100189,0.0657338,0.0324888,0.114285,0.000164195,1.33
1116,100191,0.547313,0.0605877,0.0966141,0,3
1121,100193,0.58998,0.2262,0.00624183,0.707302,3
1128,100193,0.615438,0.472286,0.993258,0.000868292,3
1129,100193,0.279791,0.0386551,-0.00212054,0,3
1132,100193,0.556265,0.390943,0.993258,0.000868292,2.33
1134,100193,0.592552,0.476822,0.992461,0.000163164,3
1135,100193,0.55764,0.469568,0.993258,0.000868292,2
1138,100194,0.627687,0.392975,1,0,1.67
1142,100194,0.627687,0.392975,1,0,3
1145,100194,0.730575,0.427583,1,0,2
1146,100194,0.730568,0.461468,1,0,2.67
1148,100194,0.627655,0.393306,1,0,1.67
1151,100194,0.406552,0.29537,1,0,3
1155,100195,0.0663773,0.0392959,-0.00251619,-1.10E-06,3
1159,100196,0.18722,0.332928,-0.0247539,0,2
1164,100196,0.412099,0.457087,-0.0162532,0,3
1165,100197,0,0,0,0,1.33
1168,100197,0.617205,0.412513,-0.0400978,0,2.67
1171,100197,0.609387,0.398646,0,0,1.67
1172,100197,0.448736,0.443452,0,0,2.33
1176,100197,0.181425,0.142943,0.00127237,0,2
1177,100197,0.431807,0.306579,-0.0400978,0,2.33
1180,100200,0.0499988,0.225892,0,0,2
1185,100201,0.356128,0.108004,0,0,3
1191,100203,0.348036,0.28357,-7.15E-06,0,2.33
1192,100203,0.369694,0.140762,4.39E-05,0,2.67
1195,100203,0.262177,0.0901008,3.86E-05,0,3
1196,100203,0.134268,0.257422,-1.36E-05,1,3
1205,100208,0.00495514,0.192379,0,0,1.67
1206,100208,0.154686,0.247708,-8.53E-05,0,1.33
1208,100209,0.216984,0.222227,5.93E-05,0,2.67
1212,100209,0.210168,0.0533239,0,0,3
1215,100209,0.15751,0.143524,0,0,2.33
1216,100209,0.108143,0.164914,0,0,3
1218,100210,0.0994879,0.0840668,0,0,2.33
1220,100210,0.0268645,0.022749,0,0,1.75
1224,100211,0.00681009,0.0721506,0.99875,0,3
1227,100212,0.00711101,0.146064,0.000248656,0.000868292,2.33
1228,100213,0.454539,0.304815,0.000372947,0,2.33
1230,100213,0.987785,0.241999,2.85E-05,-3.47E-05,2.33
1231,100213,0.988054,0.241051,2.85E-05,-3.47E-05,2.67
1237,100216,0.704125,0.218199,-0.0117648,0,3
1238,100216,0.708779,0.229132,-0.0117648,0,2.33
1243,100217,0.181119,0.506177,0.056567,0,3
1248,100218,0.399548,0.249593,-0.0237372,0,2.33
1252,100218,0.562015,0.22745,0.00373656,0,3
1253,100218,0.579773,0.22086,0.00373656,0,2
1257,100218,0,-0.0272256,0,0,3
1266,100221,0,0,0,0,2.33
1267,100222,0.186709,0.14344,0,0,3
1273,100224,0.233848,0.107036,-0.0192192,0,2.67
1275,100224,0.329011,0.160597,0,0,3
1276,100224,0.392212,0.232439,-0.000336373,0,3
1279,100225,0.0840575,0.133387,0,0,2.67
1287,100227,0.118692,0.252554,0.025101,0,2.67
1289,100227,0.26619,0.576672,0.151466,-0.000277735,2.67
1291,100227,0.0990127,0.190035,0.0197683,5.92E-07,2
1296,100228,0.358681,0.279305,0,0,1.67
1300,100229,0,0,0,0,2.67
1302,100229,0.106909,0.143983,0,0,3
1303,100230,0.525652,0.440102,0,0,2.67
1316,100232,0.00178291,0.213899,0,0,1
1317,100232,0.280855,0.379027,-0.000245998,0,2.33
1320,100232,0.710362,0.379835,0.862962,0,2.67
1323,100233,0.0534021,-0.0161287,0,0,2.75
1326,100235,0.288637,0.441001,0.520657,-0.00011821,2.67
1335,100237,0.605413,0.804047,0,0,2.67
1338,100237,0.710465,0.848589,1,0,2
1340,100237,0.70589,0.844168,0,0,3
1344,100239,0.531882,0.178508,0,0,1.67
1345,100239,0.534795,0.165738,0,0,2
1347,100239,0.500154,0.155431,0.00340687,0,2.67
1348,100239,0.0672654,0.381953,0,0,2.67
1349,100239,0.771643,0.225834,0,0,2.67
1355,100241,0.00630204,-0.00636292,-2.38E-05,0,1.67
1356,100241,0.317575,0.200633,0.998979,0,3
1357,100241,0.796274,0.0337191,0.999799,0,3
1359,100242,0.974499,0.18127,0.999594,0,1.67
1364,100245,0.432379,0.603791,0.000548529,0,1.67
1366,100246,0.460999,0.144197,0.235253,0,2.33
1377,100248,0.00373285,0.0434271,0,0,1.33
1387,100248,0.00356014,0.0138704,-0.00434076,-1.64E-06,1.67
1388,100248,0.160952,0.122804,0,0.000335984,1
1394,100249,0,0,0,0,2.33
1395,100249,0.313138,0.330542,-9.42E-05,0,1.67
1397,100249,0.0108146,0.172119,-8.96E-05,0,3
1399,100249,0.652827,0.303445,0.999993,0,2.67
1401,100249,0.647439,0.222244,0.862962,0,3
1403,100249,0.365178,0.328155,7.11E-06,0,2.33
1405,100250,0.318169,0.206151,-0.000336373,0,3
1408,100251,0.471068,0.104041,4.37E-05,0,3
1414,100252,0.112487,0.237813,0.015834,0,2.67
1419,100253,0.273185,0.183909,0.0354184,0,3
1422,100254,0.507775,0.219965,-0.0635338,0,2
1427,100255,0.425668,0.43152,-0.00192588,0,3
1431,100256,0.000926371,-0.00660754,0.0225376,0,1.33
1433,100256,0.137132,0.147324,-0.152611,0,2.33
1434,100256,0.243509,0.111995,-0.152611,0,2.67
1436,100256,0.00547258,0.0694641,0,0,1.33
1439,100257,0,0,0,0,2.67
1443,100257,0.211043,0.328879,-0.000160993,-0.00134629,2
1444,100257,0.0241859,0.000306865,0,-0.000262595,2.33
1449,100259,0.0151461,0.0879508,-0.0552784,0,2
1453,100259,0.489071,0.122939,-0.0329525,0,1.33
1454,100259,0.488821,0.122392,-0.0329525,0,1.33
1458,100260,0.227968,0.1628,0.0912719,0,2.67
1468,100263,0.504895,0.1893,0.000255558,0,3
1471,100263,0.459376,0.462353,0.0366298,0,2.67
1472,100263,0,0.0830602,0,0,1
1473,100263,0.0279811,0.0774333,0.000179215,0,1.33
1479,100264,0.423192,0.107029,-0.0011194,0,2
1481,100264,0.76132,0.447341,0,0,2.67
1483,100264,0.650387,0.520203,0,0,3
1486,100264,0.214746,0.0882049,0.99976,0,1.33
1487,100264,0.707899,0.357102,0.99976,0,2
1490,100264,0.701967,0.296175,8.68E-06,0,2.67
1491,100264,0.748133,0.497292,8.68E-06,0,2
1492,100264,0.648446,0.525241,8.68E-06,0,2.33
1496,100264,0.657712,0.391159,0,0,2.33
1497,100264,0.656178,0.408333,0,0,2
1501,100264,0.296538,0.187272,2.15E-06,0,2.33
1504,100265,0,0,0,0,2.33
1506,100265,0.152924,0.354215,-0.0616366,0,1.33
1509,100265,0.134685,0.0488123,0,0,2.67
1512,100265,0.229614,0.376213,0,0,3
1528,100267,0.655737,0.426007,0,0,2
1538,100269,0.342119,0.312919,0.000123787,3.18E-06,2.67
1542,100270,0.667602,0.26401,0.0200468,0,2.67
1546,100270,0.688871,0.274983,0.999594,0,3
1548,100272,0.182115,0.28851,-8.45E-06,0.000868292,2
1554,100272,0.262536,0.0593491,0.0597808,-0.000217588,2.67
1560,100272,0.297587,0.0777275,-7.60E-05,-3.98E-06,2.67
1561,100272,0.322426,0.404147,-0.000554839,0.000868292,2.33
1562,100272,-0.061896,0.0991139,-0.0202588,0,2
1568,100272,0.368019,0.0592174,-0.000216555,0,2.33
1569,100272,0.510119,0.448806,0.78419,0.000868292,2.67
1571,100272,0.0470392,0.0374601,-0.000216555,0,2.33
1572,100273,0.496673,0.475323,-0.105232,0,3
1576,100274,0.633539,0.603689,0,0,3
1577,100274,0.618627,0.616493,1,0,1.67
1578,100274,0.339589,0.577737,0.00320095,0,1.67
1587,100277,0.00831836,0.297058,0.0209405,0,1.33
1588,100277,0.0112895,0.0830099,0.0966141,0,2.67
1593,100279,0.876569,0.0946369,0.999594,0,1.33
1595,100280,0.622716,0.564349,0,0,3
1609,100282,-0.00100195,0.00319785,0,0,1
1610,100282,0.155532,0.261583,0.0556538,6.92E-05,2.67
1612,100282,0.0339611,0.139779,-0.0145723,0.000191581,1.67
1616,100282,-0.00962116,0.017785,-0.0708745,0,1
1617,100282,0.0285372,0.165232,-0.0296768,0,2
1622,100283,0.486004,0.601448,0.450427,0,2.67
1624,100283,0.440116,0.17437,0.392499,0,2.67
1627,100284,0.337903,0.351038,0,0,2.67
1633,100285,-0.0121965,0.0573434,0,0,1.67
1634,100285,0.608108,0.678831,0.00185988,0,1.33
1637,100286,0.483625,0.295158,0.0200468,0,3
1640,100286,0.43937,0.155079,0,0,2.67
1643,100286,0.448992,0.166493,0.999594,0,3
1645,100287,0.169196,0.240149,-0.0291991,3.92E-05,2.33
1647,100287,0.106272,0.128896,0.041301,0,1.33
1648,100287,0.0643491,0.0612628,-0.01931,0,1.33
1653,100288,-0.00407238,0.0286534,-0.0263659,0,1.33
1654,100289,0.397184,0.148211,0,0,2
1655,100289,0.695417,0.305153,0,0,2.67
1656,100289,0.201178,0.313134,0.0243394,0,2
1657,100289,0.314475,0.100953,0,0,3
1661,100290,0.675721,0.161828,0.986456,0,2.67
1664,100292,0.140998,0.0467748,-0.00101611,0,2.33
1667,100292,0.002351,0.314705,0.00026621,0,1
1669,100293,0.0325173,0.626668,-0.0113353,0,3
1670,100294,-0.0294631,0.186407,0.00817813,0,2.33
1671,100294,-0.00353111,0.0075359,0,0,2
1672,100294,0.408234,0.408929,0.000879419,0,2
1673,100294,0.605836,0.608498,0.000879419,0,2
1675,100294,0.638847,0.600361,0.000879419,-9.99E-05,2.33
1677,100294,0.514446,0.453384,0.000879419,0,2
1681,100295,0,0,0,0,3
