id,product_uid,relevance,similarity_search_term_to_title,similarity_search_term_to_description,similarity_search_term_to_brand,similarity_search_term_to_materials
181,100033,2.67,0.102604,0.11295,0,0
182,100033,2.67,0.0236425,0.326839,-0.00334106,7.42E-08
186,100033,3,0.136876,0.406376,2.21E-05,-2.85E-08
191,100033,2.67,0.208215,0.560654,0.0021872,7.09E-07
193,100033,3,0.17844,0.618765,-0.00394547,0
195,100034,1,0.00561001,0.0844079,0.0148024,0
201,100036,2.33,0.717219,0.459536,0,6.25E-06
202,100036,2.33,0.8182,0.559206,0.0218663,6.25E-06
203,100036,3,0.5975,0.3362,-0.00126234,1.82E-06
205,100036,2.33,0.461978,0.33689,-0.000440885,-1.31E-06
210,100037,2.5,0.69824,0.437962,0.789519,0
214,100038,2.33,0.304313,0.34241,0.000132462,0
215,100038,3,0.541443,0.348499,0.000230561,0
223,100039,2.33,0.259774,0.244906,0.00679332,0
226,100039,2.33,0.254387,0.161459,0,0
227,100039,2.33,0.261018,0.241138,0.00712896,0
233,100039,3,0.616685,0.337958,0.00679332,0
241,100042,3,0.710096,0.142011,0.999998,0
245,100042,2.33,0.464614,0.199151,-0.000347099,0
255,100045,2.33,0.174152,0.593969,0,0
257,100046,2,0.418122,0.199202,0,0
259,100046,2,-0.0132696,0.473304,1.93E-05,0.97875
261,100046,2.33,0.3945,0.243871,-0.000354865,4.98E-08
266,100046,2.67,-0.0254952,0.572792,-4.17E-05,-2.64E-05
270,100046,1.67,0.313412,0.375945,-0.000386514,-1.21E-05
272,100047,3,0.513722,0.157853,0.999998,0
275,100047,2.33,0.306132,0.588859,1.89E-05,-5.58E-08
276,100047,3,0.306132,0.588859,1.89E-05,-5.58E-08
284,100049,2,0.600415,0.602966,-0.083588,0
290,100050,2.67,0.262518,0.474731,-3.03E-05,0
293,100051,3,0.718454,0.496516,5.28E-05,-0.0194847
294,100051,3,0.578994,0.442274,1,0
297,100051,2.33,0,0,0,0
305,100053,3,0,0,0,0
314,100054,3,0.6735,0.477876,0.689004,-2.94E-05
318,100054,3,0.690495,0.466748,0.688538,0.894168
319,100054,2.67,0.58062,0.574728,1,-2.94E-05
323,100055,2.33,0.799963,0.344962,0.994815,0
327,100055,3,0.544324,0.268904,0.000389055,0
331,100055,2,0.730422,0.380602,0.000318818,0
334,100055,2.67,0.676969,0.333818,0,0
335,100055,2,0.741498,0.271936,7.56E-05,0
340,100056,1.33,0.098838,0.0316039,0.0565634,0
341,100057,2.33,0.609238,0.820983,0,0
343,100057,2.33,0.636486,0.805266,0,0
346,100057,2,0.792023,0.851715,1,0
347,100057,1.33,0.410267,0.21765,0.00600853,0
350,100057,3,0.722543,0.847581,0,0
351,100058,3,0.539386,0.248307,0.128256,0
354,100058,2.33,0.0712613,0.342824,0.0402218,-4.35E-06
355,100058,3,-0.0205077,0.170792,0.0205535,-0.00284313
359,100059,2.67,0.171779,0.25594,0.000669512,0
361,100060,2.33,0.301057,0.731269,0.17633,6.87E-06
363,100060,3,0.302751,0.732337,0.17633,6.87E-06
365,100060,2.33,0.301057,0.731269,0.17633,6.87E-06
373,100063,2,0.437606,0.510818,0.0494712,0
374,100063,2.67,0.13075,0.215589,0.00822529,0
375,100063,2.67,0.345617,0.421154,0.0125812,0
385,100064,2.67,0.089239,0.054161,0.000520229,-1.72E-07
389,100065,2.33,0.263778,0.806609,-0.000936868,5.23E-05
397,100065,1.33,-0.0256775,0.125606,-8.43E-08,0
400,100065,2,0.439191,0.191772,0.831422,0
401,100065,2.33,0.725355,0.644488,0.831424,0
402,100065,2,0.825717,0.653168,0.996869,5.41E-06
403,100065,2.67,0.594684,0.424402,1,0.000341077
407,100065,2.67,0.524123,0.848631,0,0
408,100065,2.33,0.524843,0.848386,0,0
411,100065,2.33,0.451806,0.0691079,0.000163404,5.41E-06
413,100065,1.33,0.339591,0.778198,0.000130777,-1.78E-05
418,100065,2.33,0.405088,0.84561,-0.000936868,0.000313546
421,100065,2.67,0.463058,0.756833,0.000338199,0
422,100065,3,0.739489,0.795926,1,0
440,100068,2.33,0.511839,0.679806,-0.00763264,0
444,100068,2,0.535033,0.535222,-0.0273113,0
445,100068,1.67,0.535033,0.535222,-0.0273113,0
446,100068,2.67,0.473428,0.642736,-0.00712295,0
447,100068,3,0.564541,0.702184,-0.00712295,0
452,100068,2.67,0.687774,0.684988,0.913483,0
454,100068,3,0.687774,0.684988,0.913483,0
455,100068,2.33,0.624941,0.610821,0.913483,0
456,100068,3,0.495538,0.62612,-0.00763264,0
458,100068,3,0.49361,0.616866,-0.00763264,0
459,100068,1.67,0.471057,0.598937,-0.00763264,0
461,100069,3,0.931387,0.459887,1,0
468,100070,3,0.594116,0.570619,-0.000582163,0
469,100070,3,0.575091,0.673676,-1.26E-05,0
470,100070,2.33,0.510278,0.5824,-4.69E-06,0
473,100070,3,0.378004,0.627028,-5.32E-06,0
475,100071,2.33,0.373325,0.580595,0.00585624,-2.91E-05
476,100071,3,0.326534,0.622803,0.00585624,-2.91E-05
478,100071,3,0.689419,0.564335,0.00549497,0.706905
479,100071,1.33,0.457586,0.193307,0.0725541,0.707111
480,100072,1.67,0.22255,0.599673,0.0265622,0
481,100072,3,0.230345,0.710282,-0.209817,0
485,100074,3,-0.0231264,0.0312148,0,0
491,100076,3,0.395585,0.264748,0.000698272,-0.000177454
492,100077,1.67,0.443053,0.445082,-0.00896282,0.330416
497,100077,3,0.0898609,0.205018,0,-0.000451497
500,100078,2.67,0.522896,0.733294,-0.00628871,0
501,100079,1.67,0.41002,0.0558272,0,0
508,100081,2.33,0.717602,0.21146,-0.0626825,-7.66E-06
511,100081,2.33,0.287624,0.138468,-0.0624699,0
516,100082,3,0.307621,0.115226,0,0
517,100083,1.33,0.00195348,0.0745453,-0.0685551,0
524,100086,2,0.55072,0.551451,0.0272081,0
533,100086,3,0.599307,0.392715,0,0.999936
536,100087,2,0.0231931,0.220138,0,0
542,100088,2,0.531916,0.106531,0.0147438,0
544,100089,3,0.344143,0.389634,1,0
549,100090,3,0.445958,0.328237,0.00225004,0
551,100090,3,0.685329,0.596686,5.95E-05,0
557,100090,2.67,-0.00784469,0.355479,0.00684575,0
559,100090,2.33,0.00129028,0.257517,0.00102538,0
562,100090,2.33,0.685097,0.593222,5.95E-05,0
563,100090,2.67,0.666318,0.637695,0.000117133,0
568,100092,2.33,0.618753,0.592059,-0.00578276,0
571,100092,1.67,0.618753,0.592059,-0.00578276,0
572,100092,2.67,0.596863,0.570871,-0.00663281,0
573,100092,2.67,0,0,0,0
576,100092,2.67,0.933562,0.764402,0.962563,0
581,100093,3,0.771518,0.359273,1,0
582,100093,3,0.636023,0.544727,0.99895,0
583,100093,2.67,0.526736,0.483045,-0.00108151,0
584,100093,3,0.563156,0.470725,-0.00108151,0
585,100094,3,0.517589,0.572175,0.0973453,0
591,100094,2.33,0.451767,0.124576,0.262041,0
593,100094,1.33,0.620885,0.497342,0.00315961,0
595,100095,2,0.345056,0.143692,0,0
600,100095,3,0.52219,0.356156,0.999838,0
605,100096,2,0.24611,0.362158,-0.0253539,0.000286017
606,100096,2.67,0.175734,0.178583,0.000116678,1.08E-05
611,100096,2.67,0.0118067,0.101156,-0.0178117,-4.55E-08
619,100097,2.33,0.628569,0.383396,0.996403,0.577365
626,100098,1.33,0.217491,0.403329,-0.170347,0
630,100100,3,0.297694,0.516153,0.000167424,0
634,100101,1.67,0.231321,0.279591,0.724391,0
635,100101,3,0.352155,0.443847,-0.0132303,0
636,100102,2.67,0.299013,0.348719,-0.0639651,0.000273179
637,100102,2,0.0634318,0.11206,-0.0319664,-7.43E-05
640,100104,1.67,0.249383,0.0482606,0.00013986,0
642,100104,2.33,0.836804,0.254468,2.16E-05,0
643,100104,3,0.562836,0.704792,0,0
644,100105,2.67,0.583752,0.336689,0,0
646,100105,2.67,0.224159,0.471743,0.00020913,0
652,100105,2.33,0.0674843,0.41613,-0.00495317,0
653,100106,1.25,0.093104,0.172766,0,0
659,100108,2.33,0.293602,0.0907882,-0.00666403,0
660,100109,3,0.582636,0.451775,-6.92E-08,0
661,100109,3,0.658205,0.421859,-6.92E-08,0
662,100110,2.33,0.322013,0.175244,0.000403924,0
663,100110,2.67,0.567674,0.530115,-0.00635854,0
666,100110,2.67,0.692774,0.526994,0.999965,0
668,100110,2.67,0.433307,0.28016,1,0
669,100110,2,0.188819,0.304625,-0.000187508,0
670,100111,3,0.534576,0.229173,0,0
671,100111,1.67,0.529896,0.26424,0,0
674,100112,2,0.4129,0.484184,0.995627,0
677,100113,2.67,0.122015,0.511637,0.016429,0
679,100114,3,0.999882,0.149002,0.000278388,0
680,100115,3,0.483071,0.471867,0.00495811,-0.000269683
682,100115,2,0.352038,0.329968,-0.0397232,-0.00230343
686,100116,3,0.61699,0.521292,8.53E-05,0
687,100116,3,0.550663,0.575561,-0.0002469,0
688,100117,2,0.315648,0.0833238,0,0
690,100118,2.67,0.0373541,0.15337,-0.0348905,0
691,100119,2.67,0.752612,0.672576,-0.150608,0.000371987
696,100119,1,0.342492,0.413851,0.0695168,-4.87E-05
700,100120,3,0.105293,0.166886,0.000515611,0
712,100124,3,0.691694,0.438568,0,0
713,100125,3,0.718431,0.459688,0.995105,-1.02E-06
715,100125,2.33,0.89995,0.472311,0.994814,0
718,100125,3,0.623449,0.307401,-0.000149998,0
722,100125,2.33,0.792149,0.470907,-0.000152665,0
726,100126,2.67,0.660935,0.503551,-0.257046,9.82E-05
731,100127,2.33,0.681521,0.237252,-0.0588531,0
734,100128,1,0.0142101,0.0586391,0.0129913,0
737,100128,3,0.066813,0.391598,0,0
739,100128,2.67,0.328962,0.572515,-0.0438404,-2.94E-05
740,100128,2.67,0.398686,0.562082,-0.0435286,0
742,100129,1,0.0138223,0.232682,-0.018876,0
743,100129,3,0.630804,0.124028,0,0
745,100130,3,0.156842,0.37932,-0.0747445,0
748,100131,1.67,0.0353269,0.357769,-0.0802909,0
749,100131,1.67,0.629457,0.446302,-0.0802909,0
751,100131,2,0.538531,0.32258,-0.0802909,0
753,100131,1.67,0.25376,0.0998188,0.165554,4.44E-07
756,100132,3,0.275231,0.304208,0,0
758,100133,2.33,0.367974,0.145691,0,0
759,100133,3,0,0.0936941,0,0
760,100133,3,0.0258067,0.143538,0.00226844,0
763,100134,2.67,0.393138,0.600981,0.0150244,0.000797694
764,100134,1,0.0476671,0.168105,-0.0223932,-1.30E-06
765,100134,1.67,0.0719456,0.462555,0.0017458,2.83E-05
771,100134,2.33,0.367663,0.369147,-0.0234902,-0.000331292
773,100134,1.33,0.0560534,0.198858,-0.00444548,-3.05E-06
778,100135,2,0.733101,0.581772,0.996156,0
784,100138,3,0.65255,0.584994,3.66E-05,0
787,100138,3,0.559682,0.611632,4.09E-05,0
790,100138,1.67,0.449202,0.259948,0,0
791,100138,1.67,0.565736,0.518902,4.09E-05,0
800,100138,3,0.556007,0.505989,4.09E-05,0
801,100138,1.67,0.329086,0.429779,4.09E-05,0
811,100140,2.33,0.536717,0.261345,0.0211655,0
812,100140,3,0.0665025,0.00997687,0,0
817,100141,2,0,0,0,0
818,100141,2.67,0.493397,0.112148,1,0
819,100141,1.67,0.50957,0.137643,1,0
824,100141,3,0.551313,0.482598,-0.00177777,0
826,100141,3,0.586219,0.351696,0.00311446,0
828,100143,2.33,0.627979,0.36916,-0.0275327,2.79E-07
831,100143,3,0.634171,0.365822,0.999838,0
832,100143,3,0.579867,0.347335,-0.0265619,0
837,100143,3,0.709469,0.28272,0.00803701,4.40E-07
843,100144,2.75,0.710346,0.43729,0,0
844,100144,2,0.681492,0.284952,0,0
847,100145,2,0.549641,0.764085,-6.39E-05,-7.49E-06
852,100146,2,0.329154,0.151718,-0.000243892,-7.68E-08
857,100146,3,0.425002,0.276316,-0.000324141,0.894232
862,100148,3,0.672307,0.763062,-1.97E-05,0
867,100149,1,0.27778,0.0178541,-0.0678923,0
868,100149,1.67,0.484196,0.1903,0.00450751,-1.19E-05
869,100149,2,0.393869,0.122466,0.00215534,-1.20E-05
872,100149,2,0.473606,0.169241,0.00120093,-1.19E-05
876,100149,2,0.556926,0.441092,0,0
878,100149,2.33,0.484196,0.1903,0.00450751,-1.19E-05
881,100149,2,0.491559,0.334859,0.00190311,0.894229
882,100149,2,0.484196,0.1903,0.00450751,-1.19E-05
885,100149,2.67,0.484196,0.1903,0.00450751,-1.19E-05
886,100149,1.67,0.00749462,0.267178,-0.00309058,-1.98E-06
893,100150,2.33,0.348171,0.535467,0.000718207,0
894,100150,3,0.060653,0.260303,0.00226844,0
895,100150,2.67,0.0320001,0.329327,0.00226844,0
898,100150,2.33,0.284985,0.443609,0.000662742,0
899,100150,2,0.326767,0.612655,0.000718207,0
902,100151,3,0.350136,0.491622,-0.000275594,5.00E-05
908,100152,3,0.731024,0.557418,1,0
909,100152,2,0.692933,0.52223,1,0
910,100152,2,0.583487,0.598058,0.999942,0
912,100152,1,0.00436497,0.0592943,-0.00390151,0
918,100152,1,0.330323,0.435598,0.0124134,0
922,100153,2.67,0.0169656,0.0706719,0.000411677,0
923,100153,3,0.284323,0.329821,0.000398529,0
928,100153,2,0.0698384,0.183543,0,0
929,100154,1.33,0.324834,0.203428,-0.00267355,0
934,100154,2.67,0.74668,0.471653,0.86836,0
940,100155,3,0.446498,0.425114,0.116581,1
944,100157,3,0.147114,0.225762,0,0
954,100158,2.67,0.772141,0.295915,0.99998,1.51E-07
958,100158,3,0.695055,0.277699,4.25E-05,1.51E-07
962,100158,3,0.418199,0.227125,4.25E-05,0
963,100158,2.33,0.450515,0.0630052,0,1.51E-07
969,100160,3,0.740984,0.516751,1.68E-11,0
974,100161,2.33,0.815194,0.428925,0,0
978,100161,2.33,0.762367,0.758122,-0.00453566,0
984,100163,2,0.642943,0.494126,-0.0420516,0.57738
991,100165,2.67,0.573021,0.35872,0.0143573,-1.12E-06
1000,100165,3,0.118283,0.201986,0,0
1001,100166,1,0,0,0,0
1004,100166,2.67,0.49004,0.510652,0.931524,0
1007,100167,3,0.490891,0.507101,1.28E-06,-2.45E-05
1008,100167,3,0.454128,0.480799,1.28E-06,-2.45E-05
1019,100170,1,0.597203,0.321167,0.0317187,0
1020,100170,2.67,0.667391,0.334232,0.0317187,0
1022,100170,1.67,0.700368,0.300276,-0.000992532,0
1026,100170,2.33,0.643158,0.415634,0.0317187,-0.000141709
1028,100171,1.33,0.0639498,0.109684,0,0
1031,100172,2.67,0.399631,0.58343,0.819666,5.00E-05
1038,100173,3,0.204889,0.260991,0,0
1040,100174,1.67,0.0828922,0.038015,0.0691463,0
1051,100176,3,0.699036,0.459737,0.134394,-0.000228635
1053,100177,3,0.730215,0.739879,-0.0469618,2.72E-07
1056,100178,2.33,0,0,0,0
1060,100179,2.67,0.620412,0.715424,0.0487236,-3.07E-05
1062,100179,3,0.55718,0.62417,0.455046,-5.37E-05
1065,100180,3,0.588538,0.350876,-7.17E-06,0
1068,100180,2.33,0.696621,0.479659,-0.000142166,0
1072,100181,2,0.127633,0.127081,0,0
1073,100181,3,0.488951,0.418649,0.0184811,0
1074,100181,2,0.970567,0.168838,0.0540251,0
1076,100182,3,0.398952,0.419844,1,0
1080,100184,2,-0.0569124,0.111446,-0.111446,0
1081,100184,2.67,0.785264,0.661929,0.973066,0
1083,100184,1.67,0.667301,0.379381,0.0148564,0
1084,100184,2.33,0.0046926,0.323866,0,1.88E-07
1086,100184,2.33,0.235869,0.358606,0.00452148,7.78E-06
1090,100185,2.67,0.366879,0.362003,-0.000440885,-1.31E-06
1095,100188,2.67,-0.00860036,0.0308713,2.37E-05,7.10E-07
1097,100189,2.33,0.398928,0.269453,0.0474142,0
1098,100189,2.33,0.452787,0.277769,0.0562099,0
1101,100189,1.67,0.158908,0.0714429,0.0158973,0
1103,100189,2.67,0.652403,0.306569,0.0367386,0
1104,100189,1.33,0.00656551,0.111669,0.117398,0
1107,100189,3,0.354626,0.346163,0.0714362,0
1108,100189,1.33,0.0283028,0.0876269,-0.098523,0.000206267
1116,100191,3,0.705316,0.122728,-0.409253,0
1121,100193,3,0.701916,0.456561,0.00961217,0.707682
1128,100193,3,0.652971,0.57019,0.999012,0.00193135
1129,100193,3,0.652971,0.57019,0.999012,0.00193135
1132,100193,2.33,0.641618,0.591834,0.999012,0.00193135
1134,100193,3,0.611175,0.610749,0.927771,0.000148867
1135,100193,2,0.607809,0.563789,0.999012,0.00193135
1138,100194,1.67,0.596357,0.544448,1,0
1142,100194,3,0.596357,0.544448,1,0
1145,100194,2,0.706116,0.72505,1,0
1146,100194,2.67,0.662891,0.743881,1,0
1148,100194,1.67,0.59643,0.542734,1,0
1151,100194,3,0.40664,0.494538,0.999965,0
1155,100195,3,0.132008,0.218635,0.00614915,-3.73E-08
1159,100196,2,0.598082,0.611073,-0.00525192,0
1164,100196,3,0.46471,0.557937,-0.00514959,0
1165,100197,1.33,0,0,0,0
1168,100197,2.67,0.56092,0.501703,0.0110005,0
1171,100197,1.67,0.665795,0.550822,-0.0230136,0
1172,100197,2.33,0.421925,0.44315,0,0
1176,100197,2,0.618362,0.516377,-0.00437888,0
1177,100197,2.33,0.422884,0.4494,-0.0221989,0
1180,100200,2,0.025338,0.354825,0,0
1185,100201,3,0.425625,0.356604,0,0
1191,100203,2.33,0.457827,0.373114,-1.89E-05,0
1192,100203,2.67,0.436161,0.344604,-1.89E-05,0
1195,100203,3,0.32612,0.275522,-1.57E-05,0
1196,100203,3,0.377846,0.355032,-1.57E-05,0.894231
1205,100208,1.67,0.0929258,0.461888,-0.000584662,-0.00041198
1206,100208,1.33,0.275568,0.728603,0,0
1208,100209,2.67,0.434644,0.49618,-0.000255687,0
1212,100209,3,0.620107,0.440349,-0.0109831,0
1215,100209,2.33,0.0733997,0.328863,0,0
1216,100209,3,0.188063,0.35479,-0.00955489,0
1218,100210,2.33,0.0416766,0.154985,0,0
1220,100210,1.75,0.0318614,0.168355,0,0
1224,100211,3,0.670981,0.544467,0.134394,-0.000228635
1227,100212,2.33,0.0397745,0.230368,5.07E-05,0.00193135
1228,100213,2.33,0.412798,0.374486,-0.000760845,0
1230,100213,2.33,0.975313,0.32274,0.000733287,-4.13E-07
1231,100213,2.67,0.976141,0.322669,0.000733287,-4.13E-07
1237,100216,3,0.623318,0.310797,0.0122741,0
1238,100216,2.33,0.665308,0.434823,0.0122741,0
1243,100217,3,0.273994,0.627229,0.090835,0
1248,100218,2.33,0.502387,0.50294,-0.0533334,0
1252,100218,3,0.628855,0.448237,-0.0368707,0
1253,100218,2,0.582785,0.32498,-0.0349625,0
1257,100218,3,0.0315377,0.00999061,0,0
1266,100221,2.33,0,0,0,0
1267,100222,3,0.192895,0.0719029,0,0
1273,100224,2.67,0.203463,0.194147,-0.0288237,0.000107561
1275,100224,3,0.322586,0.215389,0.0569935,0
1276,100224,3,0.473951,0.378946,0.00238931,0
1279,100225,2.67,0.145669,0.259069,-0.00204051,0
1287,100227,2.67,0.210001,0.700046,0.0955554,0
1289,100227,2.67,0.428572,0.685845,0.13003,-0.000145189
1291,100227,2,0.0890398,0.212061,-0.0357926,8.71E-08
1296,100228,1.67,0.560684,0.460536,0,0
1300,100229,2.67,0,0,0,0
1302,100229,3,0.0795926,0.330013,-0.000254454,0
1303,100230,2.67,0.448969,0.453513,0,0
1316,100232,1,0.0132214,0.204837,2.35E-07,0
1317,100232,2.33,0.337069,0.518435,0.000183414,0
1320,100232,2.67,0.845492,0.547616,0.906476,0
1323,100233,2.75,0.0196841,0.000566851,0,0
1326,100235,2.67,0.369669,0.659534,0.136005,5.77E-07
1335,100237,2.67,0.651426,0.805347,0,0
1338,100237,2,0.794388,0.850975,1,0
1340,100237,3,0.73952,0.847538,0,0
1344,100239,1.67,0.52349,0.214037,0,0
1345,100239,2,0.552462,0.218465,0,0
1347,100239,2.67,0.477475,0.158384,-0.000942184,0
1348,100239,2.67,0.152294,0.585837,0,0
1349,100239,2.67,0.704995,0.276035,0.0940102,0
1355,100241,1.67,-0.0202176,0.154668,-2.18E-05,0
1356,100241,3,0.334335,0.476107,0.7895,0
1357,100241,3,0.829207,0.152932,0.844057,0
1359,100242,1.67,0.943781,0.379475,0.999821,0
1364,100245,1.67,0.638464,0.754712,-0.0101697,-0.00177011
1366,100246,2.33,0.680979,0.557074,-0.0843921,0
1377,100248,1.33,0.0497303,0.136978,0,0
1387,100248,1.67,-0.00890696,0.0226319,0.00737991,3.92E-07
1388,100248,1,0.0130463,0.0879341,-0.00661087,3.68E-05
1394,100249,2.33,0,0,0,0
1395,100249,1.67,0.351302,0.334228,5.59E-05,0
1397,100249,3,0.299758,0.32283,0.000183414,0
1399,100249,2.67,0.695427,0.437466,0.999653,0
1401,100249,3,0.744506,0.316442,0.906476,0
1403,100249,2.33,0.392813,0.318091,-8.19E-05,0
1405,100250,3,0.411748,0.404998,0.00238931,0
1408,100251,3,0.557097,0.14741,0,0
1414,100252,2.67,0.250851,0.524969,-0.0695821,0
1419,100253,3,0.362863,0.683194,0.00186529,0
1422,100254,2,0.601817,0.579897,0.0799711,0
1427,100255,3,0.55625,0.695581,-0.0127992,0
1431,100256,1.33,0.0516321,-0.010428,-0.00686894,0
1433,100256,2.33,0.448489,0.347239,-0.0613372,0
1434,100256,2.67,0.444759,0.332587,-0.0613372,0
1436,100256,1.33,-0.0245277,0.358433,-0.0125461,0
1439,100257,2.67,0,0,0,0
1443,100257,2,0.286553,0.649312,0.000205795,-1.12E-06
1444,100257,2.33,0.113138,0.0870598,-0.00204051,-0.000110228
1449,100259,2,0.00960552,0.197773,0.0180809,0
1453,100259,1.33,0.510606,0.266941,-0.00168621,0
1454,100259,1.33,0.51032,0.267335,-0.00168621,0
1458,100260,2.67,0.189719,0.214334,0.0181232,0.000107561
1468,100263,3,0.532333,0.403616,-7.80E-06,0
1471,100263,2.67,0.503566,0.721008,-0.0214917,0
1472,100263,1,0.0507375,0.539116,0,0
1473,100263,1.33,0.0373053,0.146894,0.00231641,0
1479,100264,2,0.163827,0.197667,0.00977545,0
1481,100264,2.67,0.697752,0.586536,0,0
1483,100264,3,0.603265,0.524851,0,0
1486,100264,1.33,0.2418,0.153544,0.999977,0
1487,100264,2,0.741694,0.52296,0.999977,0
1490,100264,2.67,0.606027,0.424112,-1.02E-05,0
1491,100264,2,0.728994,0.620589,-1.02E-05,0
1492,100264,2.33,0.566887,0.546994,-1.02E-05,0
1496,100264,2.33,0.479574,0.492602,0,0
1497,100264,2,0.343269,0.528567,-1.84E-05,0
1501,100264,2.33,0.261556,0.409893,6.55E-06,0
1504,100265,2.33,0,0,0,0
1506,100265,1.33,0.220296,0.446505,0.140635,0
1509,100265,2.67,0.154377,0.146004,0,0
1512,100265,3,0.268555,0.554085,0,0
1528,100267,2,0.34776,0.54843,-1.84E-05,0
1538,100269,2.67,0.455309,0.300836,-4.87E-05,1.09E-06
1542,100270,2.67,0.72474,0.543734,0.00234998,0
1546,100270,3,0.720563,0.540514,0.999821,0
1548,100272,2,0.220442,0.36248,-0.000324523,5.08E-05
1554,100272,2.67,0.33558,0.106831,0.00801322,-9.95E-05
1560,100272,2.67,0.437972,0.497052,-0.000146629,0.000148867
1561,100272,2.33,0.377717,0.471322,0.874136,0.00193135
1562,100272,2,0.0281798,0.0428233,0.999999,0
1568,100272,2.33,0.589308,0.500926,-0.000174104,0.00193135
1569,100272,2.67,0.633807,0.620615,0.000227092,0.00193135
1571,100272,2.33,0.378696,0.482565,-0.000174104,0.00193135
1572,100273,3,0.592383,0.725632,-0.00628871,0
1576,100274,3,0.718396,0.701027,0,0
1577,100274,1.67,0.657135,0.705412,1,0
1578,100274,1.67,0.337765,0.594032,-0.00273754,0
1587,100277,1.33,0.0222377,0.470416,-0.280514,0
1588,100277,2.67,0.0502132,0.182212,-0.409253,0
1593,100279,1.33,0.657679,0.423308,0.999821,0
1595,100280,3,0.689481,0.622391,0,0
1609,100282,1,0.00179147,0.0227312,-0.0128654,0
1610,100282,2.67,0.261518,0.474629,0.00222834,-0.00157295
1612,100282,1.67,0.0522137,0.311927,0.0266337,5.33E-06
1616,100282,1,0.0070186,0.0770116,0.00251848,0
1617,100282,2,0.0601153,0.350787,0.00750536,0
1622,100283,2.67,0.548398,0.654198,0.695591,0
1624,100283,2.67,0.425119,0.356215,0.0538562,0.00155921
1627,100284,2.67,0.785958,0.41253,0,0
1633,100285,1.67,-0.0400011,0.146271,-0.000729484,0
1634,100285,1.33,0.456856,0.670088,0.00695765,0
1637,100286,3,0.552329,0.499676,0.00234998,0
1640,100286,2.67,0.485444,0.250334,0,0
1643,100286,3,0.549708,0.420701,0.999821,0
1645,100287,2.33,0.385525,0.515837,-0.0275812,-1.39E-06
1647,100287,1.33,0.290175,0.372345,-0.0883833,0
1648,100287,1.33,0.405929,0.396347,-0.0718135,0
1653,100288,1.33,0.0459448,0.147893,0.043467,0
1654,100289,2,0.113677,0.106954,-4.83E-05,0
1655,100289,2.67,0.766793,0.563172,0,0
